time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Current,SoC,Temperature 1,Temperature 2,Temperature 3,Temperature 4,UV\OV Fault
13.799999999999967,41026,41000,41011,40973,40959,40999,40977,40936,41052,41038,41022,41052,41038,41061,39837,00000,00000,12139,12190,12716,12866,0
13.899999999999967,41025,40999,41011,40973,40959,41000,40977,40935,41051,41038,41022,41052,41038,41060,39837,00000,00000,12139,12190,12716,12866,0
13.999999999999966,41026,40999,41011,40974,40960,41000,40977,40935,41051,41039,41021,41052,41038,41061,39837,00000,00000,12139,12190,12716,12866,0
14.099999999999966,41025,40999,41012,40973,40960,41000,40977,40936,41051,41039,41021,41051,41038,41061,39837,00000,00000,12139,12190,12716,12866,0
14.199999999999966,41026,40999,41011,40973,40960,40999,40977,40935,41050,41039,41022,41052,41038,41062,39837,00000,00000,12139,12190,12716,12866,0
14.299999999999965,41025,40998,41012,40973,40959,41000,40978,40936,41052,41038,41022,41052,41038,41062,39838,00000,00000,12139,12190,12716,12866,0
14.399999999999965,41026,41000,41012,40974,40959,41000,40977,40936,41052,41039,41023,41053,41038,41061,39837,00000,00000,12139,12190,12716,12866,0
14.499999999999964,41025,40999,41012,40974,40960,41000,40978,40936,41051,41038,41021,41052,41038,41062,39838,00000,00000,12139,12190,12716,12866,0
14.599999999999964,41025,40999,41012,40973,40960,41001,40978,40936,41052,41039,41023,41052,41037,41062,39837,00000,00000,12139,12190,12716,12866,0
14.699999999999964,41026,40999,41012,40973,40961,41000,40978,40936,41052,41039,41022,41051,41037,41061,39837,00000,00000,12139,12190,12716,12866,0
14.799999999999963,41025,40999,41012,40974,40960,41000,40978,40936,41052,41039,41023,41053,41038,41062,39839,00000,00000,12139,12190,12716,12866,0
14.899999999999963,41026,40999,41012,40973,40960,41000,40979,40937,41052,41039,41022,41051,41038,41061,39838,00000,00000,12139,12190,12716,12866,0
14.999999999999963,41026,41000,41012,40974,40960,41000,40977,40936,41052,41038,41023,41052,41039,41061,39838,00000,00000,12139,12190,12716,12866,0
15.099999999999962,41025,40999,41012,40973,40960,41000,40978,40937,41052,41039,41023,41053,41039,41062,39838,00000,00000,12139,12190,12716,12866,0
15.199999999999962,41027,41000,41012,40974,40960,41000,40977,40936,41052,41038,41023,41053,41038,41062,39838,00000,00000,12139,12190,12716,12866,0
15.299999999999962,41026,41000,41012,40974,40960,41001,40979,40936,41052,41039,41022,41052,41038,41062,39837,00000,00000,12139,12190,12716,12866,0
15.399999999999961,41027,41000,41012,40974,40960,41000,40977,40936,41052,41039,41023,41053,41038,41061,39837,00000,00000,12139,12190,12716,12866,0
15.499999999999961,41027,40999,41012,40974,40960,41001,40979,40937,41052,41039,41023,41052,41039,41061,39837,00000,00000,12139,12190,12716,12866,0
15.59999999999996,41026,40999,41012,40973,40960,41001,40978,40937,41051,41039,41023,41053,41039,41062,39837,00000,00000,12139,12190,12716,12866,0
15.69999999999996,41026,40999,41012,40973,40959,41001,40979,40937,41053,41040,41023,41053,41040,41063,39838,00000,00000,12139,12190,12716,12866,0
15.79999999999996,41025,40999,41012,40974,40961,41001,40979,40937,41052,41040,41023,41053,41039,41062,39837,00000,00000,12139,12190,12716,12866,0
15.89999999999996,41027,41000,41012,40974,40960,41001,40979,40938,41053,41039,41023,41053,41039,41062,39838,00000,00000,12139,12190,12716,12866,0
15.99999999999996,41025,40999,41012,40974,40960,41001,40979,40937,41053,41040,41023,41053,41039,41062,39838,00000,00000,12139,12190,12716,12866,0
16.09999999999996,41026,40999,41013,40974,40960,41001,40978,40937,41053,41040,41024,41053,41039,41063,39838,00000,00000,12139,12190,12716,12866,0
16.19999999999996,41026,40999,41013,40975,40961,41001,40979,40937,41054,41040,41023,41052,41039,41063,39838,00000,00000,12139,12190,12716,12866,0
16.29999999999996,41025,41000,41013,40974,40961,41002,40979,40937,41053,41039,41023,41052,41039,41062,39838,00000,00000,12139,12190,12716,12866,0
16.399999999999963,41026,40999,41012,40974,40961,41001,40979,40937,41053,41040,41023,41053,41039,41063,39838,00000,00000,12139,12190,12716,12866,0
16.499999999999964,41027,41000,41013,40975,40962,41001,40980,40938,41053,41040,41023,41053,41039,41063,39838,00000,00000,12139,12190,12716,12866,0
16.599999999999966,41026,41000,41013,40974,40961,41002,40979,40937,41053,41040,41023,41053,41039,41063,39837,00000,00000,12139,12190,12716,12866,0
16.699999999999967,41026,40999,41012,40974,40960,41000,40978,40936,41053,41040,41023,41053,41039,41062,39837,00000,00000,12139,12190,12716,12866,0
16.79999999999997,41026,41000,41013,40974,40960,41000,40979,40937,41052,41040,41023,41053,41040,41062,39838,00000,00000,12139,12190,12716,12866,0
16.89999999999997,41026,41000,41012,40974,40961,41001,40979,40936,41052,41039,41023,41053,41039,41063,39838,00000,00000,12139,12190,12716,12866,0
16.99999999999997,41026,41000,41012,40974,40961,41001,40978,40937,41053,41040,41024,41053,41039,41062,39838,00000,00000,12139,12190,12716,12866,0
17.099999999999973,41027,41000,41013,40974,40960,41001,40979,40937,41053,41040,41023,41052,41038,41062,39837,00000,00000,12139,12190,12716,12866,0
17.199999999999974,41027,41000,41013,40974,40961,41002,40979,40937,41053,41040,41023,41053,41038,41063,39837,00000,00000,12139,12190,12716,12866,0
17.299999999999976,41027,41000,41013,40974,40961,41002,40979,40937,41053,41040,41023,41053,41039,41063,39838,00000,00000,12139,12190,12716,12866,0
17.399999999999977,41018,40994,41009,40971,40957,40992,40973,40935,41048,41035,41013,41047,41034,41058,39837,00000,00000,12139,12190,12716,12866,0
17.49999999999998,41017,40993,41008,40970,40956,40991,40973,40934,41046,41033,41013,41047,41035,41058,39838,00000,00000,12139,12190,12716,12866,0
